term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
post12,0.04624649060158643,0.03756083503618387,1.2312423447730945,0.21825362672789309,1223,13538,2408,lemar,losat,0.09440867353952276,-0.0019156923363499029
post24,0.02407396744607311,0.031309956031367735,0.7688917679077772,0.44197097793556095,3012,13538,2408,lemar,losat,0.06420809581917325,-0.016060160927027035
post36,0.014675539328285173,0.03405800274440425,0.4308984128758511,0.666549097822893,2713,13538,2408,lemar,losat,0.05833326034084644,-0.028982181684276097
post48,-0.061854943758054524,0.04200198590332347,-1.4726671234171373,0.14086406302192495,2353,13538,2408,lemar,losat,-0.008012110332304465,-0.11569777718380458
pre24,0.018921015902914312,0.022135098478372285,0.8547970058232006,0.3926780977144477,3624,14063,2265,lertr,losat,0.04729345927261559,-0.009451427466786972
pre12,0.007297878582924753,0.021806345753273657,0.33466765433769047,0.7378807949609483,3822,14063,2265,lertr,losat,0.03524866741144563,-0.020652910245596123
post03,0.09684209168649655,0.046422931564453346,2.086083071941321,0.03698907433974343,574,14063,2265,lertr,losat,0.1564041411326208,0.0372800422403723
post06,0.08494519086228876,0.05035645690026848,1.6868778323805356,0.0916490242229949,464,14063,2265,lertr,losat,0.14957179688879607,0.02031858483578143
post09,0.13811242055578818,0.04983463822052044,2.7714141305618534,0.005588673168108452,477,14063,2265,lertr,losat,0.20206683773954037,0.074158003372036
post12,0.03772778594481508,0.03321439245577982,1.1358866790968463,0.25602335099556944,1219,14063,2265,lertr,losat,0.08031684142309597,-0.004861269533465815
post24,0.0825397635203264,0.023672956710875,3.4866689669739848,4.905689680718023e-4,3735,14063,2265,lertr,losat,0.11288324643427607,0.052196280606376724
post36,0.047080098826633325,0.024775637815248844,1.900257792663428,0.057419728929193475,3282,14063,2265,lertr,losat,0.07883775033997809,0.015322447313288558
post48,0.09086014900965951,0.028919682270058384,3.1418100711199854,0.0016825529381811156,2850,14063,2265,lertr,losat,0.1279308086607021,0.053789489358616896
pre24,-0.004311347844069266,0.014384121560110345,-0.2997296585719477,0.7643853984119937,8161,30770,4459,leprm,losat,0.014124138109367159,-0.02274683379750569
pre12,0.01029341657404892,0.013790838636737142,0.7463952588516619,0.4554343849125728,8872,30770,4459,leprm,losat,0.027968403618147862,-0.007381570470050024
post03,0.05085508035394196,0.019410905099294995,2.6199231871876507,0.008799274947789376,3371,30770,4459,leprm,losat,0.07573603340263903,0.0259741273052449
post06,0.00970607183860519,0.023306020318273897,0.41646200020665075,0.6770748729331517,2245,30770,4459,leprm,losat,0.039582733874535085,-0.0201705901973247
post09,0.016527068380190406,0.027326206139411467,0.6048065470879286,0.5453120028043572,1583,30770,4459,leprm,losat,0.05156164010365086,-0.018507503343270046
post12,0.003950405679965064,0.030494560678118173,0.1295446004834474,0.8969275829097962,1375,30770,4459,leprm,losat,0.04304955598735129,-0.035148744627421166
post24,-0.02075141822574562,0.01414173972806459,-1.4673879327989596,0.14228077600844763,8848,30770,4459,leprm,losat,-0.002626696186975565,-0.03887614026451568
post36,-0.017729882113499008,0.015130630190139011,-1.1717874200014478,0.24129148758016394,7963,30770,4459,leprm,losat,0.0016624096426033456,-0.03712217386960136
post48,-0.0319101255662243,0.01686437016897923,-1.8921623070703601,0.05847873781363494,7062,30770,4459,leprm,losat,-0.01029554341272641,-0.05352470771972219
pre24,-0.01776047227376596,0.009920123553404755,-1.7903478901399634,0.07340291258710316,18683,61581,8145,lejob,losat,-0.00504687285160197,-0.03047407169592995
pre12,-0.05557845421123378,0.009713691445991985,-5.721661483715986,1.0597494531641583e-8,20378,61581,8145,lejob,losat,-0.043129454152107345,-0.06802745427036021
post03,0.057938743537428235,0.014534623428327875,3.986256941786744,6.720114104096852e-5,6765,61581,8145,lejob,losat,0.07656743228687715,0.03931005478797931
post06,0.027336297427357728,0.01543930879796094,1.7705648474993918,0.07663803810237745,5593,61581,8145,lejob,losat,0.0471249054599812,0.007547689394734259
post09,0.024056170797306434,0.016505983126856846,1.4574212643029238,0.14500523003288768,4640,61581,8145,lejob,losat,0.04521245197774981,0.002899889616863053
post12,-0.03273808384959176,0.01822473656655097,-1.7963542973607676,0.07244308682338671,3683,61581,8145,lejob,losat,-0.009377953076457664,-0.05609821462272585
